Indicator,Typ,Methode,Koeffizient,p-Wert
BB_LowerBreak,Binär,Mutual Information,0.010421060919810987,N/A
BB_LowerBreak,Binär,Point-Biserial Correlation,-0.002884066890058104,0.7592499967472963
BB_LowerBreak_Streak,Ordinal,Mutual Information,0.003139694194122189,N/A
BB_LowerBreak_Streak,Ordinal,Pearson's r,-0.006536629278334917,0.48730647872258115
BB_LowerBreak_Streak,Ordinal,Spearman's Rho,0.0019314354747027032,0.8373866783298021
BB_Squeeze,Binär,Mutual Information,0.04406023167341577,N/A
BB_Squeeze,Binär,Point-Biserial Correlation,0.021828499625263148,0.020351437352370872
BB_UpperBreak,Binär,Mutual Information,0.014942479471091286,N/A
BB_UpperBreak,Binär,Point-Biserial Correlation,-0.008500524258016819,0.36636960320584616
BB_UpperBreak_Streak,Ordinal,Mutual Information,0.0,N/A
BB_UpperBreak_Streak,Ordinal,Pearson's r,-0.026836783433772292,0.004341371376176593
BB_UpperBreak_Streak,Ordinal,Spearman's Rho,-0.023976575646090577,0.010829513246474505
Close_Direction,Binär,Mutual Information,0.0,N/A
Close_Direction,Binär,Point-Biserial Correlation,0.017048765507759744,0.07002351254853346
MACD,Kontinuierlich,Mutual Information,0.8664468396137881,N/A
MACD,Kontinuierlich,Pearson's r,0.27820562920386854,7.961385144580538e-200
MACD,Kontinuierlich,Spearman's Rho,0.32275864562715334,4.202264912280004e-272
MACD_BearishCrossover,Binär,Mutual Information,0.0,N/A
MACD_BearishCrossover,Binär,Point-Biserial Correlation,0.015634973307630366,0.09661371215257722
MACD_Bearish_Streak,Ordinal,Mutual Information,0.0,N/A
MACD_Bearish_Streak,Ordinal,Pearson's r,-0.03437695912094474,0.00025815995666931776
MACD_Bearish_Streak,Ordinal,Spearman's Rho,-0.018668579612473115,0.0472643588087191
MACD_BullishCrossover,Binär,Mutual Information,0.0,N/A
MACD_BullishCrossover,Binär,Point-Biserial Correlation,0.016946516385157432,0.07172005369028456
MACD_Bullish_Streak,Ordinal,Mutual Information,0.0,N/A
MACD_Bullish_Streak,Ordinal,Pearson's r,-0.030753310566897035,0.0010805613254203838
MACD_Bullish_Streak,Ordinal,Spearman's Rho,-0.012122757782586903,0.19766612240184275
MACD_Slope,Kontinuierlich,Mutual Information,0.40431119142152916,N/A
MACD_Slope,Kontinuierlich,Pearson's r,0.007898632716246502,0.4012822370578103
MACD_Slope,Kontinuierlich,Spearman's Rho,0.040048498593009796,2.0689192801364122e-05
MACD_ZeroLine_Crossover,Binär,Mutual Information,0.0016525563656091258,N/A
MACD_ZeroLine_Crossover,Binär,Point-Biserial Correlation,-0.007332878670966462,0.43585428755690375
RSI,Kontinuierlich,Mutual Information,0.11613719220343377,N/A
RSI,Kontinuierlich,Pearson's r,0.08234641847153121,1.8654463522315657e-18
RSI,Kontinuierlich,Spearman's Rho,0.08044108430854596,1.1124969750435324e-17
RSI_CrossOver_70,Binär,Mutual Information,0.002571862682199333,N/A
RSI_CrossOver_70,Binär,Point-Biserial Correlation,0.005127892230735072,0.5858216437667337
RSI_CrossUnder_30,Binär,Mutual Information,0.0028855918720590568,N/A
RSI_CrossUnder_30,Binär,Point-Biserial Correlation,-0.010043564250401952,0.285849562009878
RSI_Overbought,Binär,Mutual Information,0.050208717908385214,N/A
RSI_Overbought,Binär,Point-Biserial Correlation,-0.007366843724191158,0.43373149104269915
RSI_Overbought_Streak,Ordinal,Mutual Information,0.017955505614628775,N/A
RSI_Overbought_Streak,Ordinal,Pearson's r,-0.020879956543093037,0.026488305506879306
RSI_Overbought_Streak,Ordinal,Spearman's Rho,-0.02850115754059826,0.002452102417195037
RSI_Oversold,Binär,Mutual Information,0.012158753058982175,N/A
RSI_Oversold,Binär,Point-Biserial Correlation,-0.03501236956801543,0.00019795908850929995
RSI_Oversold_Streak,Ordinal,Mutual Information,0.005847294158349836,N/A
RSI_Oversold_Streak,Ordinal,Pearson's r,-0.038557935303262555,4.153928349788955e-05
RSI_Oversold_Streak,Ordinal,Spearman's Rho,-0.05195744196534951,3.2985027719857984e-08
RSI_Slope,Kontinuierlich,Mutual Information,0.008531364446315415,N/A
RSI_Slope,Kontinuierlich,Pearson's r,0.0017126734069836552,0.8555895320184221
RSI_Slope,Kontinuierlich,Spearman's Rho,0.011653632266067006,0.21557736375260655
Signal_Line,Kontinuierlich,Mutual Information,0.9190966089607002,N/A
Signal_Line,Kontinuierlich,Pearson's r,0.293486330743247,3.54527626924727e-223
Signal_Line,Kontinuierlich,Spearman's Rho,0.3291667781866401,1.4235163387768632e-283
Volume,Ordinal,Mutual Information,1.4926435187758589,N/A
Volume,Ordinal,Pearson's r,0.6884741143697828,0.0
Volume,Ordinal,Spearman's Rho,0.8639478130407915,0.0
